Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SILV,SilverCrest Metals Inc. Common Shares,$8.71,0.27,3.199%,1258228866.00,,2018,519565,Basic Industries,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$13.25,1.08,8.874%,2198215691.00,Mexico,1993,4595,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$2.85,-0.15,-5.00%,464010076.00,,,432595,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.92,-0.07,-7.071%,51690548.00,United States,,287841,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.09,-0.23,-9.914%,14419581.00,United States,,282209,Health Care,Hospital/Nursing Management
STXS,Stereotaxis Inc. Common Stock,$8.18,-0.15,-1.801%,603346281.00,United States,,551490,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.39,0.13,2.471%,945180763.00,,,825505,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.249,-0.041,-0.495%,20527034.00,United States,,2960,Capital Goods,Industrial Machinery/Components
SYN,Synthetic Biologics Inc. Common Stock,$0.5981,-0.0041,-0.681%,77546401.00,United States,,2787988,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.73,0.01,0.581%,489792452.00,Canada,,1743417,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.20,-0.05,-4.00%,233889821.00,Canada,,121505,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$23.81,-2.60,-9.845%,268371534.00,,,610323,Consumer Services,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.89,0.00,0.00%,69633355.00,United States,2015,921718,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$79.21,-1.53,-1.895%,1180761608.00,United States,,29012,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.25,-0.06,-2.597%,324658742.00,Canada,,160164,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.16,0.09,4.348%,70076092.00,,,48520,Consumer Services,Building operators
TRT,Trio-Tech International Common Stock,$4.40,-0.19,-4.139%,16326442.00,United States,,22109,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.5651,-0.0037,-0.65%,141616453.00,Canada,,1198348,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$1.05,0.00,0.00%,107940105.00,United States,,2619505,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$5.91,0.05,0.853%,369291167.00,United States,,2547849,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$2.81,-0.04,-1.404%,637553535.00,Canada,,4761492,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$5.25,-0.13,-2.416%,51340522.00,United States,2015,5122,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.10,-0.05,-4.348%,207758430.00,Canada,,2156133,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.20,0.03,1.382%,292691192.00,,2017,437110,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.57,0.46,1.349%,1925443216.00,United States,2004,249997,,
UUU,Universal Security Instruments Inc. Common Stock,$7.46,0.20,2.755%,17254137.00,United States,,852588,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.77,-0.20,-3.35%,812511182.00,,,2988982,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.34,-0.25,-1.714%,69364014.00,United States,1993,17428,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.35,0.00,0.00%,60454714.00,United States,1993,31,,
VGZ,Vista Gold Corp Common Stock,$1.08,0.00,0.00%,112102837.00,United States,,154783,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.98,0.00,0.00%,251059375.00,,2021,5662,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.99,0.1189,1.002%,532254696.00,United States,,208763,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.35,-0.03,-0.224%,153591416.00,United States,1993,2484,,
VNRX,VolitionRX Limited Common Stock,$3.44,-0.03,-0.865%,181875920.00,Singapore,2015,124347,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$4.15,-0.05,-1.19%,90206786.00,United States,,107399,Technology,Professional Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$4.06,0.20,5.181%,103869883.00,,2021,224927,Basic Industries,Military/Government/Technical
WRN,Western Copper and Gold Corporation Common Stock,$1.25,-0.02,-1.575%,169747044.00,Canada,2011,153482,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.77,0.00,0.00%,38338763.00,United States,,36303,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.93,0.02,0.407%,159418033.00,United States,,1302262,Basic Industries,Precious Metals
WYY,WidePoint Corporation Common Stock,$8.63,-0.35,-3.898%,77624270.00,United States,,71536,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.72,-0.0326,-4.332%,42032964.00,United States,,1222371,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$2.46,0.14,6.034%,213299924.00,United States,,1339793,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.46,-0.02,-0.575%,527295353.00,United States,,1426529,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$3.61,-0.06,-1.635%,200844635.00,United States,2017,256053,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.80,0.02,0.228%,,United States,,16517,,
ZDGE,Zedge Inc. Class B Common Stock ,$14.13,-0.05,-0.353%,191202935.00,,2016,424630,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$1.00,-0.12,-10.714%,972017308.00,United States,2017,124729649,Health Care,Major Pharmaceuticals
